Discord Name,Squadron Name,Current Rank Id,Expected Rank Id,Due To Role
CMDR GMCamulos,Camulos Arwen,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Gohelagar [Chosimba],Gohelagar,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR GormanNZ,GormanNZ,Bar Fly,Regular Customer,EDAKL Members (PC/MAC)
CMDR Grave Art,Grave Art,Bar Staff,Bar Fly,EDAKL Veterans
CMDR Gridrunner64,Gridrunner64,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR GrimKrieger,GRIMkRIEGER,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR HonedRapier,HonedRapier,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Hoonia,Hoonia,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Hungry Jacks,Hungry Jacks,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Hyperion_NZ,Hyperion_NZ,Bar Fly,Regular Customer,EDAKL Members (PC/MAC)
CMDR Jiant,JIANT,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Jogles,Jogles,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR joolsald1968,Joolsald1968,Blow Ins,Regular Customer,EDAKL Members (Xbox)
CMDR Jubanova,Jubanova,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Kable121,Kable121,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Kereru,Kereru,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR KINGHUZI,Kinghuzi,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Kithlien,Kithlien,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Kiwisurvivor,Kiwisurvivor,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Kreptik,KREPTIK,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Lightningbolt,Lightningbolt,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Litesoccer,Litesoccer,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR LostSanity,LostSanity,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR MackaX,MackaX,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR ManInWhite766,ManInWhite766,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR mASTERsPUDNIK,mASTERsPUDNIK,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR MattW,MattW,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR matty_the_bomb,MATTY_THE_BOMB,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Mau Bridgers,Mau Bridgers,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Medium,Medium,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Melacon,Melacon,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Miklaen,Miklaen,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
CMDR Milkyken,Milkyken,Blow Ins,Regular Customer,EDAKL Members (PC/MAC)
